,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_n_iter_no_change,param_max_iter,param_loss,param_class_weight,param_alpha,params,mean_test_score,std_test_score,rank_test_score
26,0.005871202945709229,0.0015345029828027661,0.0010403013229370118,0.0001958203425316896,l2,15,13000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 13000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5708720330237358,0.03130421972754661,38
70,0.006451435089111328,0.0020661441646525,0.0012603211402893067,0.0007159331920645645,l2,15,9000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'l2', 'n_iter_no_change': 15, 'max_iter': 9000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5706488648090814,0.03223349464311577,39
45,0.0099619460105896,0.00248215790635204,0.0011505532264709474,0.0003841242147347552,elasticnet,15,11000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5673194014447884,0.031096142533973983,40
23,0.010263781547546386,0.003049864233325396,0.0010585951805114745,0.00034217590979008247,elasticnet,15,19000,hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.01,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.01}",0.5667543859649122,0.03142363747866445,41
51,0.007841758728027344,0.009632010568266992,0.0011702370643615722,0.0004486490694844098,elasticnet,15,15000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5646375128998967,0.04299179808446686,42
2,0.008211498260498046,0.013533296743752182,0.0012205338478088379,0.0004603105962579853,elasticnet,15,17000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5625915892672858,0.043814826756183096,43
62,0.006651544570922851,0.003122792255756544,0.0010601997375488282,0.00023767165247562326,elasticnet,15,13000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 13000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5625232198142414,0.03915998994849783,44
65,0.006781442165374756,0.0018036790085309631,0.0011202621459960938,0.00043094123162325276,elasticnet,15,11000,squared_hinge,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 11000, 'loss': 'squared_hinge', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5565789473684211,0.039168148499515575,45
53,0.006781508922576904,0.0015272680915123123,0.0011103153228759766,0.00034336715483980127,elasticnet,15,9000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 9000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5555121259029927,0.04283248312533273,46
80,0.006981406211853027,0.0016553941595983225,0.0012705230712890625,0.0005633449873701694,elasticnet,15,15000,modified_huber,"{1: 0.7832436587240584, 0: 0.2167563412759416}",0.1,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 15000, 'loss': 'modified_huber', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'alpha': 0.1}",0.5553586171310629,0.040426185616850754,47
