,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_class_weight,param_C,params,mean_test_score,std_test_score,rank_test_score
14,0.08740647792816163,0.007678399631649208,0.029192171096801757,0.002568369332961414,rbf,scale,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",280,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 280}",0.5653508771929825,0.031006167906713327,59
1,0.060693764686584474,0.0038426371166778855,0.011502416133880615,0.0012129893390030668,sigmoid,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",130,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 130}",0.5649793601651186,0.030546983298107563,60
57,0.09485113143920898,0.012477431652031728,0.031617214679718016,0.006687499400649068,rbf,scale,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",290,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 290}",0.5649535603715169,0.03022091220394576,61
69,0.08821002244949341,0.006513037331129668,0.029876420497894286,0.002678930435880862,rbf,scale,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",290,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 290}",0.5649535603715169,0.03022091220394576,61
47,0.08578339576721192,0.004051201366333651,0.0286619758605957,0.000976861648496659,rbf,scale,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",300,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 300}",0.5649316305469556,0.030853783077796012,63
4,0.17458497762680053,0.01568831267896478,0.00739583969116211,0.0005066444811854694,poly,scale,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",150,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 150}",0.5647819917440661,0.029429749442902716,64
21,0.536580605506897,0.054206334029028885,0.006441328525543213,0.0015127536545083264,poly,scale,8,"{1: 0.7832436587240584, 0: 0.2167563412759416}",180,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 8, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 180}",0.5644659442724459,0.02989101011694728,65
30,0.06678492784500122,0.004357157917818079,0.012962746620178222,0.0024210816473131274,sigmoid,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",140,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 140}",0.5639396284829721,0.030090149075225787,66
70,0.05498425006866455,0.003389696679197731,0.011280615329742432,0.000971116116340701,poly,auto,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.5638880288957688,0.02832020451150261,67
58,0.19578343868255615,0.0212556669489901,0.008001902103424073,0.0009165710129989466,poly,scale,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",160,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 160}",0.5632868937048503,0.02849509826229828,68
77,0.06586429119110107,0.004016985800907286,0.01248291254043579,0.0013232294991721496,sigmoid,auto,6,"{1: 0.7832436587240584, 0: 0.2167563412759416}",150,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 6, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 150}",0.5630714654282766,0.029986571111755986,69
60,0.07015836000442505,0.00710246496490015,0.012802906036376953,0.0017952775574930611,sigmoid,auto,9,"{1: 0.7832436587240584, 0: 0.2167563412759416}",170,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 9, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 170}",0.5603379772961816,0.030458164958053945,70
12,0.06349411249160766,0.004560632551107665,0.011682775020599365,0.0008707802350979482,sigmoid,auto,2,"{1: 0.7832436587240584, 0: 0.2167563412759416}",180,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 180}",0.5596181630546956,0.029573219335229595,71
56,0.06835557699203491,0.005649524572439084,0.012732620239257813,0.0017435804486367371,sigmoid,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",180,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 180}",0.5596181630546956,0.029573219335229595,71
13,0.2656024241447449,0.03318246389855797,0.007831940650939942,0.0020402945338938486,poly,scale,4,"{1: 0.7832436587240584, 0: 0.2167563412759416}",130,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 130}",0.55937435500516,0.03157543160831205,73
35,0.06781561374664306,0.0043737790355718184,0.012532320022583008,0.0021982294133402577,sigmoid,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",190,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 190}",0.559076367389061,0.029919802285175726,74
16,0.0734256362915039,0.011713407580197267,0.013342711925506592,0.003401547790619361,sigmoid,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",200,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 200}",0.5583023735810113,0.02996931121535966,75
33,0.06786559104919433,0.004656249192439539,0.012292466163635253,0.001070730091159102,sigmoid,auto,7,"{1: 0.7832436587240584, 0: 0.2167563412759416}",200,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 200}",0.5583023735810113,0.02996931121535966,75
41,0.06741497039794922,0.0036201106742124608,0.012082769870758056,0.0009351028100857885,sigmoid,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",220,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 220}",0.5564009287925696,0.029743064540843297,77
89,0.06744495868682861,0.003838214001928313,0.01218254566192627,0.000963721254992163,sigmoid,auto,9,"{1: 0.7832436587240584, 0: 0.2167563412759416}",230,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 9, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 230}",0.5548168214654283,0.029317528340191017,78
15,0.06916527271270752,0.006939770313889546,0.012033565044403076,0.0010839425688093773,sigmoid,auto,5,"{1: 0.7832436587240584, 0: 0.2167563412759416}",250,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 250}",0.5532262641898865,0.029072646526578712,79
76,0.06851540327072143,0.004054215901573649,0.012192585468292237,0.0011202670294050375,sigmoid,auto,3,"{1: 0.7832436587240584, 0: 0.2167563412759416}",260,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 3, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 260}",0.5526057791537669,0.02890315077828949,80
48,0.06859528541564941,0.003672827343997399,0.012292428016662598,0.0010609255448712118,sigmoid,auto,1,"{1: 0.7832436587240584, 0: 0.2167563412759416}",270,"{'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}, 'C': 270}",0.5513067595459237,0.028854504937158985,81
