,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,mean_test_score,std_test_score,rank_test_score
18,0.35849090576171877,0.021663026961190678,0.01781379699707031,0.0026148882381900325,130,21,52,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 21, 'min_samples_leaf': 52, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.598297213622291,0.0312943892481791,31
86,0.272685284614563,0.02211682219243219,0.012848711013793946,0.0025257497986913833,90,17,50,log2,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 17, 'min_samples_leaf': 50, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982804437564498,0.03251968885654974,32
33,0.2689861845970154,0.03710751721202262,0.012668375968933105,0.00387590889908216,80,21,50,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 21, 'min_samples_leaf': 50, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982159442724457,0.030548789528240024,33
0,0.21880409717559815,0.01114388954672473,0.011432082653045654,0.002388850361091512,80,19,59,log2,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 59, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982133642930857,0.03140174783683412,34
72,0.2368525266647339,0.012888425405904604,0.011818742752075196,0.0017229970479096814,80,19,59,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 19, 'min_samples_leaf': 59, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982133642930857,0.03140174783683412,34
70,0.28573795795440676,0.027596062537484128,0.014583232402801514,0.0033625259423585136,100,15,54,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 54, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982133642930856,0.030914388715862724,36
21,0.20727638959884642,0.010434809105310939,0.01013273000717163,0.001026354130754183,70,23,54,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 23, 'min_samples_leaf': 54, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982120743034056,0.030055133007628937,37
92,0.22360021591186524,0.029683029822307038,0.010702455043792724,0.0036298912393628088,70,15,54,auto,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 15, 'min_samples_leaf': 54, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5982120743034056,0.030055133007628937,37
23,0.29693044900894167,0.015301036750135623,0.013993635177612304,0.0018901745186395878,100,21,57,log2,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 21, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.598204334365325,0.032446556712131154,39
29,0.2586681294441223,0.007419865168029056,0.013513178825378417,0.001220804589672178,100,15,52,log2,35,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 52, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5981617647058823,0.030787686060518224,40
50,0.27939159870147706,0.022507805516767062,0.014213707447052002,0.0018349332553887665,100,17,52,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 17, 'min_samples_leaf': 52, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5981617647058823,0.030787686060518224,40
74,0.27234692811965944,0.01728047964957377,0.012993814945220948,0.002496374725070763,90,19,57,log2,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 19, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5981166150670795,0.03275132135329114,42
63,0.3367952871322632,0.0448446388096535,0.01518362045288086,0.001992242634104158,110,17,55,log2,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 110, 'min_samples_split': 17, 'min_samples_leaf': 55, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5981127450980391,0.03110937494383021,43
15,0.3097376346588135,0.00743794808239557,0.014598965644836426,0.001028698823536489,110,19,55,log2,40,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 110, 'min_samples_split': 19, 'min_samples_leaf': 55, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5981127450980391,0.03110937494383021,43
42,0.31917084455490113,0.020929871457486916,0.016353771686553956,0.002426847157393087,120,15,55,log2,25,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 55, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5980714654282765,0.031190981489975834,45
59,0.35420756816864013,0.028426707637544294,0.018484442234039306,0.004669289328265139,120,15,55,auto,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 55, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5980714654282765,0.031190981489975834,45
95,0.3365252232551575,0.028534241744972037,0.017304503917694093,0.0029585560619549956,120,21,57,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 21, 'min_samples_leaf': 57, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5980314757481939,0.031032571633410142,47
11,0.3095396566390991,0.013306498896857677,0.016013898849487306,0.0021567667228535093,120,15,57,auto,35,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 57, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5980314757481939,0.031032571633410142,47
1,0.2713610601425171,0.01221115163336327,0.014143242835998535,0.0017033798068796823,110,17,57,auto,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 110, 'min_samples_split': 17, 'min_samples_leaf': 57, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5980276057791538,0.03095981195707191,49
64,0.3787834906578064,0.03454869242115771,0.017429509162902833,0.0023077427803176124,130,23,60,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 23, 'min_samples_leaf': 60, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979914860681115,0.031509072847464306,50
60,0.32070438623428343,0.02112733018906985,0.01619443893432617,0.0020126066653817303,120,19,54,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 19, 'min_samples_leaf': 54, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979837461300309,0.030705332841858606,51
75,0.37395419120788576,0.024982268332964533,0.018435730934143066,0.0019995005872366135,140,21,51,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 140, 'min_samples_split': 21, 'min_samples_leaf': 51, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979785861713106,0.031419342312798006,52
94,0.2743852639198303,0.022605864980441894,0.0126336407661438,0.0015084077397934223,90,23,53,log2,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 23, 'min_samples_leaf': 53, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979760061919505,0.030352185220253538,53
22,0.404974730014801,0.024625903022028665,0.020425488948822023,0.00340658161692251,150,23,55,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 23, 'min_samples_leaf': 55, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979656862745099,0.030005261200000993,54
76,0.4066409873962402,0.023590537147939766,0.02022470235824585,0.003081184972983146,150,17,55,auto,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 17, 'min_samples_leaf': 55, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979656862745099,0.030005261200000993,54
87,0.4058899569511414,0.032143967091116735,0.02024442911148071,0.0028435566247891893,150,23,55,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 23, 'min_samples_leaf': 55, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979656862745099,0.030005261200000993,54
91,0.45369534969329833,0.058641331421942916,0.022065310478210448,0.005835835686389506,150,15,52,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 52, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5979282765737873,0.029984716252242898,57
78,0.20401562452316285,0.00904342349819291,0.010072882175445557,0.0011510978577186917,70,17,56,auto,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 17, 'min_samples_leaf': 56, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5978934468524253,0.030521770041764207,58
54,0.20373581409454344,0.010735242652138552,0.01056241512298584,0.003537040622379285,70,17,56,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 17, 'min_samples_leaf': 56, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5978934468524253,0.030521770041764207,58
6,0.334548602104187,0.014058919418851169,0.017373814582824706,0.002914911323260361,130,15,60,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 15, 'min_samples_leaf': 60, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5978689370485036,0.03133290601337163,60
8,0.34727551221847536,0.026075922166718394,0.01794424057006836,0.002702028469085172,130,21,51,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 21, 'min_samples_leaf': 51, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5978250773993807,0.031772585765412496,61
89,0.46049336194992063,0.035747867234204596,0.02156487464904785,0.004309609607771255,150,17,56,auto,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 17, 'min_samples_leaf': 56, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5977128482972136,0.029602783997453495,62
2,0.4200996685028076,0.030580699995359575,0.01889944076538086,0.00344301776666081,150,15,56,log2,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 15, 'min_samples_leaf': 56, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5977128482972136,0.029602783997453495,62
12,0.4226245021820068,0.03400936195107091,0.019344608783721923,0.003456722171882872,140,23,52,auto,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 140, 'min_samples_split': 23, 'min_samples_leaf': 52, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976535087719299,0.03058012703798557,64
58,0.21335858345031739,0.02291619049450921,0.011992037296295166,0.003399693819150679,70,23,56,auto,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 23, 'min_samples_leaf': 56, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976535087719298,0.029994850998311978,65
69,0.19605687379837036,0.019878921312164646,0.011022732257843018,0.003373886334120955,70,19,56,auto,25,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 19, 'min_samples_leaf': 56, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976535087719298,0.029994850998311978,65
68,0.3866060471534729,0.027686176284884692,0.017504091262817382,0.0020379319470905095,130,19,56,auto,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 19, 'min_samples_leaf': 56, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976431888544892,0.030263384741816102,67
55,0.41186280965805055,0.02095398957352136,0.019095072746276854,0.002724749150778355,140,17,50,log2,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 140, 'min_samples_split': 17, 'min_samples_leaf': 50, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976393188854491,0.031035470810367616,68
62,0.3915216398239136,0.03225265644386591,0.018839750289916992,0.004286243090767058,130,17,55,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 17, 'min_samples_leaf': 55, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976354489164087,0.030456859351437198,69
25,0.2256324100494385,0.022224556257066957,0.012377896308898927,0.003039244399995393,80,17,51,log2,25,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 17, 'min_samples_leaf': 51, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976225490196079,0.030698723600741024,70
53,0.21214769124984742,0.008287654299783098,0.01139272928237915,0.0013706175682466327,80,21,51,log2,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 21, 'min_samples_leaf': 51, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5976225490196079,0.030698723600741024,70
9,0.2901711630821228,0.01859960584630622,0.0139634108543396,0.0020590874420686454,100,19,54,auto,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 19, 'min_samples_leaf': 54, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.597532249742002,0.030878097163813827,72
81,0.26483304738998414,0.010548702424946996,0.012643041610717774,0.0016403069922311234,90,19,51,auto,30,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 19, 'min_samples_leaf': 51, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5975232198142416,0.03074629176743399,73
31,0.4173467302322388,0.025485245216686533,0.01931454420089722,0.0027010085080267014,140,21,51,auto,40,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 140, 'min_samples_split': 21, 'min_samples_leaf': 51, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5973632610939112,0.031361069193649616,74
84,0.23287539958953857,0.008343003188903884,0.012183034420013427,0.0011080831739719548,90,15,57,log2,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 15, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5973426212590299,0.031823472829036414,75
