,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,mean_test_score,std_test_score,rank_test_score
85,0.3166212749481201,0.009379154132634383,0.014433405399322509,0.001133885144536144,110,17,51,log2,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 110, 'min_samples_split': 17, 'min_samples_leaf': 51, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5968188854489164,0.03050047638611413,91
40,0.2182541036605835,0.015320548112741094,0.010612392425537109,0.0017937565963172379,70,15,51,auto,30,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 15, 'min_samples_leaf': 51, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5967672858617131,0.029541045442345062,92
16,0.31870657682418824,0.010605119479265254,0.01471346378326416,0.0011518611985650404,110,19,50,log2,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 110, 'min_samples_split': 19, 'min_samples_leaf': 50, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5967195562435501,0.030575133124829085,93
88,0.4185715341567993,0.03281290848474823,0.021233420372009277,0.00418211021811168,150,21,50,auto,35,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 21, 'min_samples_leaf': 50, 'max_features': 'auto', 'max_depth': 35, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5965957172342621,0.03097786436472331,94
97,0.376420886516571,0.016316150268961632,0.017164645195007325,0.0018596491842399132,130,23,53,log2,40,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 23, 'min_samples_leaf': 53, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5965570175438596,0.03045344893350693,95
26,0.2210596537590027,0.023996359408301162,0.01137155294418335,0.003149074546866739,70,19,59,log2,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 70, 'min_samples_split': 19, 'min_samples_leaf': 59, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5961171310629515,0.032167834582863465,96
17,0.3716823863983154,0.01188606778629002,0.017088494300842284,0.001531143194008161,130,21,54,auto,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 130, 'min_samples_split': 21, 'min_samples_leaf': 54, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5960990712074303,0.031018390890948034,97
79,0.43846874475479125,0.01929655111039155,0.020385336875915528,0.0029323450447255412,150,17,53,log2,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 17, 'min_samples_leaf': 53, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5958694530443757,0.030247682749858004,98
47,0.34614535808563235,0.012349771633805113,0.016113274097442627,0.0016732424057911998,120,17,53,log2,30,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 17, 'min_samples_leaf': 53, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5955405056759545,0.029743820252667412,99
36,0.3826658892631531,0.051047704290336636,0.018394246101379394,0.005706290410324735,120,15,53,auto,30,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 53, 'max_features': 'auto', 'max_depth': 30, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5955405056759545,0.029743820252667412,99
