n_execucao,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_test_score,std_test_score,modelo
9,0.10182892084121704,0.004027490095446391,0.019286541938781737,0.00193932673811752,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 7, 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'C': 110}",0.6036984004127967,0.03291142990409691,SVC
90,0.10104653835296631,0.0031776300969525904,0.019764537811279296,0.0024284158568208146,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'C': 100}",0.6023258513931888,0.03345884036970603,SVC
59,0.10377379655838012,0.0043753314673464815,0.019118924140930176,0.002174222494704137,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 4, 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'C': 150}",0.6019156346749226,0.031956163087273094,SVC
92,0.10452077388763428,0.004165612675237671,0.019548008441925047,0.0030316435288802457,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 1, 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'C': 160}",0.6016034571723425,0.03209557399669383,SVC
39,0.10449357509613037,0.0033804044281804803,0.018783724308013915,0.001167896809385121,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 5, 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'C': 160}",0.6016034571723425,0.03209557399669383,SVC
17,0.500177743434906,0.009219999763353097,0.024172427654266356,0.00196554133297221,"{'n_estimators': 130, 'min_samples_split': 21, 'min_samples_leaf': 54, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}}",0.5958397832817337,0.032401178887472876,RandomForestClassifier
31,0.5511414766311645,0.01113676163564003,0.025764036178588866,0.003027777317395111,"{'n_estimators': 140, 'min_samples_split': 21, 'min_samples_leaf': 51, 'max_features': 'auto', 'max_depth': 40, 'criterion': 'entropy', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}}",0.5956204850361196,0.03219621654634905,RandomForestClassifier
16,0.432290825843811,0.01171187249188837,0.020589327812194823,0.001537891374310558,"{'n_estimators': 110, 'min_samples_split': 19, 'min_samples_leaf': 50, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}}",0.5954553663570692,0.03131436307161602,RandomForestClassifier
23,0.3819232249259949,0.009885699392606744,0.019003005027770997,0.002061806408137504,"{'n_estimators': 100, 'min_samples_split': 21, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}}",0.5952554179566563,0.03128476408352061,RandomForestClassifier
43,0.5861767506599427,0.013085030002737185,0.02849766254425049,0.00344544349763742,"{'n_estimators': 150, 'min_samples_split': 21, 'min_samples_leaf': 50, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}}",0.5952373581011351,0.03218151234456719,RandomForestClassifier
95,0.021646807193756102,0.006322662654126988,0.001835777759552002,0.00048660773693203944,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 9000, 'loss': 'log', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'alpha': 0.001}",0.5940183178534572,0.032046838768611335,SGDClassifier
88,0.021512196063995362,0.005665806346304294,0.0017268705368041993,0.0001567358443312465,"{'penalty': 'l1', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'log', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'alpha': 0.001}",0.5940183178534572,0.032046838768611335,SGDClassifier
54,0.0178806471824646,0.00469397024530745,0.0016799330711364745,7.230633242229218e-05,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 17000, 'loss': 'modified_huber', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'alpha': 0.01}",0.5928212074303406,0.035889174615744396,SGDClassifier
78,0.01769496440887451,0.0054744584527974816,0.0017295432090759276,0.000269760325397982,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 19000, 'loss': 'modified_huber', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'alpha': 0.01}",0.5928212074303406,0.035889174615744396,SGDClassifier
76,0.018302304744720457,0.005667263984545351,0.0018174052238464355,0.0008072798710839611,"{'penalty': 'elasticnet', 'n_iter_no_change': 15, 'max_iter': 5000, 'loss': 'modified_huber', 'class_weight': {1: 0.7829754601226994, 0: 0.2170245398773006}, 'alpha': 0.01}",0.5928212074303406,0.035889174615744396,SGDClassifier
